can,y,task,scaffold
CCCCCCCCCCCC[N+](C)(C)CCNC(=O)[C@]12C[C@H]3C[C@H](C[C@](C(=O)NCC[N+](C)(C)CCCCCCCCCCCC)(C3)C1)C2.[Br-].[Br-],1,binary,C1C2CC3CC1CC(C2)C3
CCCCCCCCCCCCCC[N+](C)(C)CCNC(=O)[C@]12C[C@H]3C[C@H](C[C@](C(=O)NCC[N+](C)(C)CCCCCCCCCCCCCC)(C3)C1)C2.[Br-].[Br-],0,binary,C1C2CC3CC1CC(C2)C3
CCCCCCCCCCCCCCCC[N+](C)(C)CCNC(=O)[C@]12C[C@H]3C[C@H](C[C@](C(=O)NCC[N+](C)(C)CCCCCCCCCCCCCCCC)(C3)C1)C2.[Br-].[Br-],0,binary,C1C2CC3CC1CC(C2)C3
CCCCCCCCCCCC[N+]1(C)CCN(C)CC1.[Cl-],0,binary,C1C[NH2+]CCN1
CCCCCCCC[N+]1(C)CC[N+](C)(CCCCCCCC)CC1.[Br-].[Br-],0,binary,C1C[NH2+]CC[NH2+]1
CCCCCCCCCC[N+]1(C)CC[N+](C)(CCCCCCCCCC)CC1.[Br-].[Br-],0,binary,C1C[NH2+]CC[NH2+]1
CCCCCCCCCCC[N+]1(C)CC[N+](C)(CCCCCCCCCCC)CC1.[Br-].[Br-],0,binary,C1C[NH2+]CC[NH2+]1
CCCCCCCCCCCC[N+]1(C)CC[N+](C)(CCCCCCCCCCCC)CC1.[Br-].[Br-],1,binary,C1C[NH2+]CC[NH2+]1
CCCCCCCCCCCC[N+]1(C)CC[N+](C)(CCCCCCCCCCCC)CC1.[Br-].[Cl-],1,binary,C1C[NH2+]CC[NH2+]1
CCCCCCCCCCCCC[N+]1(C)CC[N+](C)(CCCCCCCCCCCCC)CC1.[Br-].[Br-],0,binary,C1C[NH2+]CC[NH2+]1
CCCCCCCCCCCCCC[N+]1(C)CC[N+](C)(CCCCCCCCCCCCCC)CC1.[Br-].[Br-],0,binary,C1C[NH2+]CC[NH2+]1
CCCCCCCCCCCCCCCC[N+]1(C)CC[N+](C)(CCCCCCCCCCCCCCCC)CC1.[Br-].[Br-],0,binary,C1C[NH2+]CC[NH2+]1
